	PCO1 (29.76%)	PCO2 (16.63%)
Sample1	-0.002459824	-0.064524588
Sample2	-0.003318623	-0.065112253
Sample3	0.108123995	-0.018088984
Sample4	0.105913596	-0.02578001
Sample5	0.000512627	-0.038030597
Sample6	0.11942528	-0.014421769
Sample7	-0.001925721	-0.057833423
Sample8	0.118020353	-0.010355629
Sample9	0.102777176	0.005154038
Sample10	0.012421625	-0.05884601
Sample11	-0.10959072	0.059705346
Sample12	0.070412833	-0.03150139
Sample13	-0.013867646	-0.031065289
Sample14	0.11087259	-0.01819205
Sample15	0.016695357	-0.047559346
Sample16	0.002300196	-0.054802713
Sample17	0.008630877	-0.051303119
Sample18	0.11247527	-0.02387823
Sample19	0.103982025	-0.020158137
Sample20	0.099951563	-0.012648419
Sample21	0.005709526	-0.036129372
Sample22	-0.022115746	-0.068758814
Sample23	-0.033756886	-0.061043642
Sample24	0.003039971	-0.049688244
Sample25	-0.078751105	0.028632601
Sample26	-0.035421981	-0.056121293
Sample27	-0.040828551	-0.000595571
Sample28	-0.019630234	-0.032906169
Sample29	-0.134660771	0.073094592
Sample30	-0.078910145	-0.01409893
Sample31	-0.04009221	-0.006444643
Sample32	-0.105706629	0.067813805
Sample33	-0.094000718	0.028961771
Sample34	-0.015971423	-0.039184623
Sample35	-0.03463815	-0.065784305
Sample36	-0.057072961	-0.058601006
Sample37	-0.04961562	-0.058053777
Sample38	-0.081896019	0.029990644
Sample39	-0.04582024	0.013257933
Sample40	-0.125511062	0.09177811
Sample41	-0.07355298	0.043579507
Sample42	-0.034070623	-0.03917561
Sample43	-0.02189663	-0.017102144
Sample44	-0.043530076	0.016437822
Sample45	-0.001729494	-0.052796325
Sample46	-0.006659574	-0.052350106
Sample47	-0.002978539	-0.050059749
Sample48	-0.01580786	-0.05888947
Sample49	0.052698602	-0.041032403
Sample50	-0.030704531	-0.013028567
Sample51	0.135444579	0.02775062
Sample52	-0.004947485	-0.039489857
Sample53	0.112405701	0.106343013
Sample54	0.141646822	0.032414242
Sample55	0.123766238	0.041830864
Sample56	0.138854179	0.042108201
Sample57	0.006569404	-0.028809036
Sample58	-0.024303001	-0.049121356
Sample59	-0.037990723	-0.052960574
Sample60	0.134999442	0.04922915
Sample61	0.110165459	-0.004188861
Sample62	0.153479695	0.040735058
Sample63	0.112818303	-0.018287692
Sample64	0.144130271	0.046305582
Sample65	0.14620351	0.069171045
Sample66	0.118405585	0.055681449
Sample67	0.132402573	0.030223007
Sample68	0.135695286	0.038889326
Sample69	0.140667472	0.022569643
Sample70	0.140817357	0.030380593
Sample71	0.107523835	-0.012463199
Sample72	0.119315586	-0.025895632
Sample73	0.104609352	-0.001830874
Sample74	0.152034666	0.030182093
Sample75	0.120475475	-0.035846565
Sample76	-0.000734454	-0.064860372
Sample77	-0.021250144	-0.083814862
Sample78	-0.026998864	-0.078198992
Sample79	-0.020583356	0.010293444
Sample80	0.013305708	-0.064099084
Sample81	-0.009529127	-0.079412126
Sample82	-0.000694675	-0.058016322
Sample83	-0.000825292	-0.039857341
Sample84	-0.041767382	-0.045323541
Sample85	-0.033703303	-0.041758912
Sample86	-0.015007341	-0.043931662
Sample87	-0.022844566	-0.052052468
Sample88	-0.062203589	-0.069667927
Sample89	0.132648748	0.033393178
Sample90	-0.057682273	0.011970829
Sample91	-0.045409144	-0.04372782
Sample92	-0.017261531	-0.009188157
Sample93	-0.106075749	0.188150116
Sample94	0.091650893	0.098741562
Sample95	-0.003648999	0.104063606
Sample96	-0.078478391	0.052306437
Sample97	-0.043340468	-0.033921748
Sample98	-0.018226843	0.027972211
Sample99	-0.174542152	0.160473472
Sample100	0.003718786	-0.033627798
Sample101	-0.088714844	0.017139796
Sample102	0.087402235	0.000323291
Sample103	-0.035740684	0.011327973
Sample104	-0.060220762	0.073664078
Sample105	-0.051846478	-0.012453992
Sample106	0.11317972	0.032991907
Sample107	-0.047905171	0.042477771
Sample108	0.07062796	0.013189113
Sample109	-0.025256762	-0.015138471
Sample110	0.0133904	0.087221232
Sample111	0.114677407	0.102847531
Sample112	-0.075863271	0.034205953
Sample113	0.003845989	-0.042154429
Sample114	-0.034490187	-0.038956282
Sample115	-0.060839999	0.060642438
Sample116	-0.087762866	0.031019611
Sample117	-0.031318897	-0.041203575
Sample118	-0.018090008	-0.046275903
Sample119	-0.027131978	0.019988798
Sample120	-0.015041421	-0.028721651
Sample121	-0.046982079	-0.036948187
Sample122	0.020762392	-0.041258988
Sample123	-0.044843852	-0.0536492
Sample124	-0.084052174	0.008380216
Sample125	-0.027778124	-0.043891387
Sample126	0.113801994	-0.008513146
Sample127	0.138345137	0.04989858
Sample128	-0.000521099	-0.02321548
Sample129	-0.188928842	-0.052219699
Sample130	-0.005618748	0.057634999
Sample131	-0.004109407	-0.016814954
Sample132	-0.028824869	-0.055482912
Sample133	-6.74E-05	-0.038937979
Sample134	-0.023792718	-0.061824894
Sample135	-0.048405967	-0.020169847
Sample136	0.117688245	-0.008537732
Sample137	-0.056604544	-0.032709778
Sample138	-0.029306141	-0.033526253
Sample139	0.006806022	-0.020028662
Sample140	-0.008114768	-0.027329613
Sample141	-0.024388716	-0.021435572
Sample142	0.117884875	0.056624265
Sample143	-0.027086551	-0.018395914
Sample144	-0.018687995	-0.020983597
Sample145	0.085977752	0.091852737
Sample146	-0.011493977	-0.030756984
Sample147	-0.024330918	-0.050625417
Sample148	-0.044721934	-0.062702695
Sample149	-0.011034058	-0.059491046
Sample150	0.113001977	0.024689193
Sample151	0.150546397	-0.002285061
Sample152	0.125814981	0.006303662
Sample153	-0.00653567	-0.070630418
Sample154	-0.014166049	-0.071377314
Sample155	0.067226797	-0.042774578
Sample156	0.15666735	0.040513523
Sample157	0.007954996	-0.060335525
Sample158	-0.041690201	0.015899471
Sample159	0.139445357	0.007616377
Sample160	-0.024986719	-0.061085125
Sample161	0.107161782	-0.026374871
Sample162	0.112829247	0.010505761
Sample163	-0.009267228	-0.04059009
Sample164	-0.049780753	-0.006005724
Sample165	0.143707862	0.046008212
Sample166	0.13374473	0.036311297
Sample167	-0.041174138	-0.039748979
Sample168	-0.023994938	0.030119369
Sample169	-0.007088149	-0.010677533
Sample170	-0.030338733	-0.037282968
Sample171	-0.01754091	-0.040364166
Sample172	-0.130218509	0.09530732
Sample173	-0.032812032	0.000381119
Sample174	-0.032826639	-0.019377718
Sample175	-0.024387635	-0.07282916
Sample176	-0.016283277	-0.063929331
Sample177	-0.030458913	-0.071954788
Sample178	-0.057478573	-0.017833516
Sample179	-0.045117293	-0.039154756
Sample180	-0.040198591	-0.038525518
Sample181	-0.087049431	-0.028252908
Sample182	-0.054322258	-0.049970308
Sample183	-0.026698787	-0.028198147
Sample184	-0.030188672	-0.047644061
Sample185	-0.056301659	-0.001447159
Sample186	-0.038669209	-0.026594186
Sample187	-0.031232941	-0.026894571
Sample188	0.003791715	0.024736638
Sample189	-0.025328508	-0.04679674
Sample190	0.046582039	0.006232904
Sample191	-0.023729848	0.000424832
Sample192	-0.05786573	-0.058671998
Sample193	-0.005537017	-0.038023721
Sample194	-0.047973775	0.016137887
Sample195	0.096958963	0.003294168
Sample196	-0.087306697	0.017146836
Sample197	-0.033863876	-0.051351382
Sample198	0.063578174	0.083120663
Sample199	0.100085634	-0.009754247
Sample200	0.107449937	0.114650446
Sample201	-0.079582627	0.043000853
Sample202	0.1334425	0.008921311
Sample203	-0.054265309	-0.058237783
Sample204	-0.039565653	-0.034029494
Sample205	-0.076925772	0.060355028
Sample206	-0.035753808	-0.020522573
Sample207	-0.01152046	-0.05812931
Sample208	0.076419301	0.049857535
Sample209	-0.017970891	-0.046889267
Sample210	0.059611467	0.14750193
Sample211	-0.072476317	0.084895885
Sample212	0.121347916	0.002455945
Sample213	0.115745994	0.041660442
Sample214	0.074799557	0.051469291
Sample215	0.034230762	0.125794235
Sample216	0.070225778	-0.009967474
Sample217	-0.032050506	-0.015479536
Sample218	-0.041299853	-0.059493795
Sample219	-0.013817659	-0.019787871
Sample220	-0.025339702	-0.035623046
Sample221	-0.050095645	-0.055948145
Sample222	-0.057568284	-0.063178411
Sample223	-0.12817439	0.101284835
Sample224	-0.115430011	0.062976366
Sample225	-0.157419633	0.148305377
Sample226	-0.120544862	0.144348229
Sample227	-0.158817932	0.052573814
Sample228	0.027335842	-0.031829881
Sample229	0.022330969	0.264859621
Sample230	0.064925395	0.077333735
Sample231	0.125459619	0.004888787
Sample232	-0.015839838	-0.029227094
Sample233	-0.048974712	-0.061184568
Sample234	-0.037724705	0.04993265
Sample235	-0.088741602	0.054450366
Sample236	-0.059151791	-0.056100969
Sample237	-0.038958773	0.103526607
Sample238	-0.0672018	0.016927095
Sample239	0.025277026	0.020233064
Sample240	-0.001198212	-0.027488844
Sample241	-0.030802958	0.009991652
Sample242	-0.010222489	-0.049069936
Sample243	0.014167823	-0.039618642
Sample244	-0.016621119	-0.021093905
Sample245	-0.05425268	0.065949279
Sample246	0.01957533	-0.017342368
Sample247	-0.036176242	-0.033759062
Sample248	-0.064987581	0.149460235
Sample249	-0.052328316	0.059193425
Sample250	-0.145347287	0.121611205
Sample251	-0.047447663	-0.041181234
Sample252	0.03845555	-0.029180564
Sample253	-0.021999104	-0.040683811
Sample254	-0.051836461	-0.057398611
Sample255	0.102039255	0.024492101
Sample256	0.029606357	0.133895912
Sample257	-0.036423032	-0.048491623
Sample258	-0.059424001	0.042849208
Sample259	0.098050847	0.031123836
Sample260	-0.072028159	-0.0166638
Sample261	-0.040252488	-0.041002143
Sample262	-0.155014421	0.144733769
Sample263	-0.0340515	-0.01917638
Sample264	-0.021077969	-0.022709621
Sample265	-0.061828924	0.063553012
Sample266	-0.059880014	0.007894494
Sample267	0.093381461	0.016999519
Sample268	-0.121118122	0.104912024
Sample269	-0.120610591	0.14623271
Sample270	-0.075579033	0.035271434
Sample271	-0.092490562	0.041748373
