	PCO1 (46.08%)	PCO2 (12.11%)
Sample1	-0.05172393	0.012667431
Sample2	-0.009109516	-0.023293035
Sample3	-0.02896055	-0.002433358
Sample4	-0.037146734	-0.033286165
Sample5	-0.099018225	0.035772152
Sample6	-0.032041762	-0.034366832
Sample7	-0.066736557	-0.005610922
Sample8	-0.055152065	-0.023601117
Sample9	-0.085508755	0.042881363
Sample10	-0.021562203	-0.018848981
Sample11	0.047474661	0.009457206
Sample12	0.044605143	0.082402312
Sample13	0.04951973	0.025824885
Sample14	-0.073692068	0.077871676
Sample15	-0.098985852	0.0711286
Sample16	-0.049387725	0.057438231
Sample17	0.002752302	-0.015482156
Sample18	0.007131019	0.011371057
Sample19	-0.095396837	-0.016139501
Sample20	-0.098705961	0.009670893
Sample21	0.047878624	-0.018313677
Sample22	-0.030625778	-0.009719625
Sample23	-0.054133717	0.028873005
Sample24	-0.028179234	-0.035772156
Sample25	-0.028011159	-0.02065928
Sample26	-0.121835363	0.100516816
Sample27	-0.012319336	-0.000363052
Sample28	0.030811728	-0.019011075
Sample29	-0.097784778	0.034152112
Sample30	-0.029594035	-0.022425929
Sample31	0.044076238	0.011049338
Sample32	-0.132962517	0.112543093
Sample33	0.000701924	0.020207031
Sample34	-0.039792693	-0.002534623
Sample35	-0.035832667	0.007761721
Sample36	0.003364892	-0.004442046
Sample37	-0.024921563	-0.017235919
Sample38	-0.027192788	0.000351049
Sample39	-0.139492214	0.087227492
Sample40	-0.078377794	-0.0177004
Sample41	-0.134456716	0.090472858
Sample42	0.041151243	-0.009081262
Sample43	0.056706753	0.019787869
Sample44	0.029774664	-0.011502124
Sample45	-0.04112295	-0.014823137
Sample46	0.184734956	0.005857641
Sample47	0.040708661	-0.00745301
Sample48	-0.037820888	-0.007945041
Sample49	-0.068592652	-0.010595995
Sample50	-0.001053873	-0.032527071
Sample51	-0.041731884	0.049546053
Sample52	-0.01300437	-0.002945344
Sample53	0.031412651	0.023821197
Sample54	-0.07759945	-0.030605579
Sample55	0.129442103	0.022777149
Sample56	-0.07345164	0.065727931
Sample57	0.072735155	0.005090412
Sample58	0.020667404	0.076516272
Sample59	0.025853989	-0.017272714
Sample60	0.081008196	0.012318321
Sample61	0.047168886	0.032854437
Sample62	0.064397999	-0.010777473
Sample63	0.074215851	-0.015097246
Sample64	-0.01657058	0.101929264
Sample65	-0.067865583	-0.033763445
Sample66	-0.048076209	-0.009598467
Sample67	-0.019310195	-0.019857561
Sample68	0.076633893	-0.011347901
Sample69	-0.044589555	-0.011382889
Sample70	0.010540418	-0.01717443
Sample71	-0.004859952	-0.030287794
Sample72	0.006860583	-0.001921208
Sample73	0.123051404	-0.010266576
Sample74	0.023119625	0.022210137
Sample75	0.00099556	-0.031235146
Sample76	-0.094241706	0.013304829
Sample77	0.062126445	0.004465313
Sample78	0.149994642	0.007298396
Sample79	0.006450445	-0.021420455
Sample80	0.037705441	-0.017138354
Sample81	0.149686126	0.020397892
Sample82	-0.022043877	-0.016888775
Sample83	-0.064599505	-0.039443393
Sample84	-0.077388444	-0.009988188
Sample85	-0.12485988	0.076141421
Sample86	0.060125528	0.082363959
Sample87	-0.035790781	0.059976318
Sample88	0.130854122	0.028424594
Sample89	-0.077537902	0.005356736
Sample90	-0.057494211	-0.008474631
Sample91	-0.00359807	-0.026319062
Sample92	0.140849295	0.048113229
Sample93	-0.127838646	0.096280746
Sample94	-0.113137405	0.072323057
Sample95	-0.039277892	-0.01356351
Sample96	-0.038836031	-0.04625484
Sample97	-0.067335421	-0.016191622
Sample98	0.032601992	0.005665851
Sample99	-0.056627359	0.000249495
Sample100	0.153336138	0.017439717
Sample101	-0.010835581	-0.007943581
Sample102	0.148695883	0.006856535
Sample103	-0.003408138	-0.045497273
Sample104	-0.08418986	0.013950734
Sample105	-0.051841103	-0.016485714
Sample106	-0.00163722	0.016120571
Sample107	-0.018714523	0.034605894
Sample108	-0.046242173	0.048705889
Sample109	0.044290377	0.004960997
Sample110	-0.062430303	-0.001206968
Sample111	-0.028809818	0.024963579
Sample112	0.049492227	0.022723815
Sample113	0.011078117	-0.016871045
Sample114	-0.035923335	-0.011237925
Sample115	-0.044321919	0.024092649
Sample116	0.155765907	0.030852562
Sample117	-0.106006094	0.094929888
Sample118	-0.014258907	-0.028607676
Sample119	0.08142967	-0.006869502
Sample120	0.005561823	-0.042954534
Sample121	-0.046612573	-0.018790888
Sample122	0.050120044	-0.016552806
Sample123	-0.000644833	-0.028332145
Sample124	0.029060494	-0.034895763
Sample125	-0.004132938	-0.007064943
Sample126	-0.043310016	-0.035489687
Sample127	0.0323161	-0.018900879
Sample128	-0.079384984	-0.01429105
Sample129	-0.00523683	-0.009655513
Sample130	-0.079776777	-0.029330479
Sample131	-0.042867964	-0.03008514
Sample132	0.065990786	-0.031668215
Sample133	0.038826663	-0.014282707
Sample134	-0.022345418	-0.036095952
Sample135	0.080628253	-0.006612109
Sample136	0.020938724	-0.034869914
Sample137	-0.002969368	-0.027754149
Sample138	-0.070616597	0.11654212
Sample139	-0.033659672	-0.048587309
Sample140	0.110434813	0.004001633
Sample141	-0.043302357	-0.036396763
Sample142	-0.011542413	-0.01932984
Sample143	-0.004628327	-0.032705435
Sample144	-0.059376448	-0.025491229
Sample145	-0.01567171	-0.035761854
Sample146	0.028999095	0.031606076
Sample147	-0.05808302	0.032968577
Sample148	-0.053794415	0.012455184
Sample149	-0.065336449	0.015068492
Sample150	-0.054767324	0.007242581
Sample151	0.145554941	0.03247076
Sample152	-0.062492388	-0.053820367
Sample153	-0.060386871	-0.046738772
Sample154	-0.065224435	-0.060172198
Sample155	-0.046764081	-0.009859648
Sample156	0.001042991	-0.009933664
Sample157	-0.048025567	-0.040713895
Sample158	-0.03568087	-0.045075984
Sample159	-0.009364955	-0.03922477
Sample160	0.086466704	-0.009137685
Sample161	0.027731295	0.006923776
Sample162	-0.121631654	0.069389406
Sample163	-0.062479541	-0.042331459
Sample164	-0.06093887	-0.042796921
Sample165	0.007186367	-0.017725986
Sample166	-0.046244909	-0.00307786
Sample167	-0.038365535	-0.052199744
Sample168	-0.082226231	0.038920599
Sample169	0.032154649	-0.018322484
Sample170	0.060774983	-0.013966508
Sample171	0.008764329	-0.038322749
Sample172	-0.009965233	-0.036856222
Sample173	0.051293238	-0.032362878
Sample174	-0.026013376	-0.045739067
Sample175	0.028013558	-0.008335643
Sample176	-0.001254526	-0.035694552
Sample177	0.125852901	0.006051793
Sample178	0.098580489	0.020777199
Sample179	-0.031744189	-0.030657718
Sample180	-0.04109177	0.036678742
Sample181	0.014582229	-0.002105136
Sample182	0.140602193	0.0192514
Sample183	0.045068797	0.014902663
Sample184	-0.02250187	-0.013724816
Sample185	0.16259256	0.011964315
Sample186	0.113800363	0.007220031
Sample187	0.156685518	0.034554387
Sample188	-0.029524007	-0.04569542
Sample189	-0.005183902	0.051597503
Sample190	-0.018805536	0.04260191
Sample191	-0.029898926	-0.051984969
Sample192	0.041651397	-0.025199358
Sample193	-0.126256371	0.099993495
Sample194	0.037024718	-0.020130723
Sample195	-0.062789421	0.080291738
Sample196	-0.041824719	0.015980068
Sample197	-0.047661216	-0.043802835
Sample198	-0.063596924	-0.049056663
Sample199	0.052270536	-0.03882091
Sample200	-0.044808595	-0.009566325
Sample201	-0.030914842	-0.021293904
Sample202	-0.060775808	-0.030567203
Sample203	0.037163183	-0.017857113
Sample204	0.033297347	-0.035228383
Sample205	-0.015582037	-0.032697058
Sample206	0.054200601	0.012826767
Sample207	0.086007179	-0.01561932
Sample208	-0.048146772	-0.012795783
Sample209	-0.035205162	-0.026970827
Sample210	-0.017041282	-0.010052183
Sample211	-0.057904467	-0.016158953
Sample212	-0.056108243	-0.033702025
