	PCO1 (20.86%)	PCO2 (17.33%)	
Sample1	0.003640939	0.038048016	NCA
Sample2	-0.012170058	-0.029538998	NCA
Sample3	-0.093649053	0.02189569	NCA
Sample4	-0.080353458	0.026584265	NCA
Sample5	-0.074941424	0.053108113	NCA
Sample6	-0.029143286	0.028571164	NCA
Sample7	-0.017320299	-0.03200862	NCA
Sample8	-0.026456923	0.003373255	NCA
Sample9	-0.090686089	0.007515138	NCA
Sample10	-0.028661043	0.10035664	NCA
Sample11	0.000133781	-0.038755886	NCA
Sample12	-0.083349277	0.018394058	NCA
Sample13	0.05605217	0.068237973	NCA
Sample14	-0.08102061	0.021550423	NCA
Sample15	-0.080784151	0.025822143	NCA
Sample16	-0.037556359	0.022186185	NCA
Sample17	-0.102545219	-0.053706174	NCA
Sample18	-0.02331371	0.104323983	NCA
Sample19	-0.039052532	0.10798347	NCA
Sample20	-0.082881444	0.012928239	NCA
Sample21	0.008379623	0.084886863	NCA
Sample22	-0.059893273	-0.057304545	NCA
Sample23	-0.093440094	-0.026968665	NCA
Sample24	-0.043716188	-0.021137012	NCA
Sample25	0.054369457	-0.014060058	NCA
Sample26	0.003575975	0.032399444	NCA
Sample27	0.030537863	0.072796917	NCA
Sample28	0.013136735	0.025400104	NCA
Sample29	0.016839302	-0.036872739	NCA
Sample30	0.019267807	-0.06309023	NCA
Sample31	0.030760551	-0.061768552	NCA
Sample32	0.04273082	0.008080987	NCA
Sample33	0.043360786	-0.013514382	NCA
Sample34	-0.030818272	-0.032364244	NCA
Sample35	0.072999226	0.08331649	NCA
Sample36	0.009339529	0.00161657	NCA
Sample37	0.019332716	0.038704228	NCA
Sample38	0.082695154	-0.069394562	NCA
Sample39	0.134145888	0.008641462	NCA
Sample40	0.028081544	-0.090803655	NCA
Sample41	0.087741502	-0.007687708	NCA
Sample42	0.007999272	-0.093167759	NCA
Sample43	0.054585267	-0.076655817	NCA
Sample44	0.034530724	-0.036085712	NCA
Sample45	-0.113696756	0.029222536	NCA
Sample46	-0.069318332	-0.003157221	NCA
Sample47	-0.059168448	-0.005882784	NCA
Sample48	-0.020841004	0.017238781	NCA
Sample49	-0.052283232	-0.012614833	NCA
Sample50	-0.018966616	-0.039888655	NCA
Sample51	-0.07617409	-0.042683649	NCA
Sample52	-0.047246788	-0.072006219	NCA
Sample53	-0.007214255	-0.057621204	NCA
Sample54	-0.033319211	-0.07433178	NCA
Sample55	-0.08379045	0.007112794	NCA
Sample56	-0.088045403	-0.089904755	NCA
Sample57	-0.096411096	0.082728448	NCA
Sample58	-0.065195637	0.075691174	NCA
Sample59	0.034996947	0.039003117	NCA
Sample60	-0.049734703	-0.018049741	NCA
Sample61	-0.087865801	-0.065499661	NCA
Sample62	-0.086183203	-0.088242798	NCA
Sample63	-0.076587533	0.088266042	NCA
Sample64	-0.101258533	0.03394684	NCA
Sample65	-0.070338123	-0.047007448	NCA
Sample66	-0.086226774	-0.013129728	NCA
Sample67	-0.068095298	0.047462809	NCA
Sample68	-0.046251268	0.003567311	NCA
Sample69	-0.044712396	0.024424921	NCA
Sample70	-0.048651868	0.063618363	NCA
Sample71	-0.02284875	0.042945639	NCA
Sample72	-0.052551358	0.032059012	NCA
Sample73	0.008991386	0.037043016	NCA
Sample74	-0.073202755	-0.037083359	NCA
Sample75	-0.044487684	0.069284565	NCA
Sample76	-0.030699384	-0.045274025	NCA
Sample77	-0.037579824	0.01604094	NCA
Sample78	-0.054349619	0.025083595	NCA
Sample79	-0.01859386	0.010999731	NCA
Sample80	-0.048175033	0.021795415	NCA
Sample81	-0.060759768	-0.036605059	NCA
Sample82	0.022823601	0.039020226	NCA
Sample83	0.014202505	0.055430111	NCA
Sample84	0.012340252	-0.070773308	NCA
Sample85	0.012027987	-0.09628531	NCA
Sample86	0.06159606	-0.007813767	NCA
Sample87	0.028752009	0.02191363	NCA
Sample88	-0.004219472	-0.049753924	NCA
Sample89	-0.054793833	0.104045133	NCA
Sample90	0.003854297	0.048089656	NCA
Sample91	0.103508349	-0.001741839	NCA
Sample92	0.05862693	-0.071783375	ACS
Sample93	-0.01133431	0.057223426	ACS
Sample94	0.130844696	0.016281722	ACS
Sample95	0.20710233	0.049964539	ACS
Sample96	-0.029125204	-0.029090723	ACS
Sample97	0.11618905	0.041772088	ACS
Sample98	0.046307512	0.09841227	ACS
Sample99	0.05734215	0.034706875	ACS
Sample100	0.066970721	0.108881683	ACS
Sample101	0.071677906	0.035308676	ACS
Sample102	0.064289436	-0.014651673	ACS
Sample103	-0.01927725	0.110265829	ACS
Sample104	-0.02359713	0.061424716	ACS
Sample105	0.094679637	0.086891296	ACS
Sample106	0.053031879	0.076711611	ACS
Sample107	0.040004654	0.032390976	ACS
Sample108	0.091413175	-0.015451168	ACS
Sample109	0.024943849	-0.047499067	ACS
Sample110	-0.042564448	-0.019897321	ACS
Sample111	0.038648984	0.041780807	ACS
Sample112	0.021021989	0.016397229	ACS
Sample113	-0.084212212	-0.015948577	ACS
Sample114	0.049137405	0.042152912	ACS
Sample115	0.056420172	0.085853387	ACS
Sample116	0.097266248	-0.053031189	ACS
Sample117	-0.013471976	-0.008701334	primary
Sample118	0.061405101	-0.027499062	primary
Sample119	-0.073909293	-0.073785149	primary
Sample120	0.090480642	-0.002789133	primary
Sample121	0.050886526	0.017162718	primary
Sample122	0.005502627	-0.053563679	primary
Sample123	0.17625872	-0.076724824	primary
Sample124	0.066728728	-0.030390119	primary
